Date,Ticker,Sector,Open,High,Low,Close,Volume
2021-01-01,AAPL,Technology,150.5702,150.809,148.7918,150.0,38859562
2021-01-04,AAPL,Technology,151.5785,152.5331,148.147,151.4153,53410605
2021-01-05,AAPL,Technology,151.336,153.8971,148.5216,151.1069,80639559
2021-01-06,AAPL,Technology,153.1692,154.4586,151.8511,152.9477,66928323
2021-01-07,AAPL,Technology,156.7964,160.7695,154.4677,157.2694,74417998
2021-01-08,AAPL,Technology,156.4712,156.9059,153.1982,156.6784,43540754
2021-01-11,AAPL,Technology,156.1145,157.1339,155.4477,156.0897,95859244
2021-01-12,AAPL,Technology,159.883,162.1854,158.0011,160.6627,80073478
2021-01-13,AAPL,Technology,162.1874,163.4775,160.5818,162.9708,71545063
2021-01-14,AAPL,Technology,161.6606,163.3062,159.7762,161.6721,51632781
2021-01-15,AAPL,Technology,163.4876,163.3727,161.1439,163.3322,69894006
2021-01-18,AAPL,Technology,162.7995,164.1511,160.7421,162.0484,58113202
2021-01-19,AAPL,Technology,160.4654,163.8787,159.8552,160.7679,38655632
2021-01-20,AAPL,Technology,161.5767,165.484,158.0108,161.5423,62471659
2021-01-21,AAPL,Technology,155.3896,159.1503,155.3911,156.1439,60510732
2021-01-22,AAPL,Technology,150.8633,152.444,147.719,151.4385,87231047
2021-01-25,AAPL,Technology,149.6709,152.8798,148.1735,149.9809,32443883
2021-01-26,AAPL,Technology,147.1139,148.707,143.6592,147.3377,68060690
2021-01-27,AAPL,Technology,147.9434,150.636,148.1446,148.2402,44843087
2021-01-28,AAPL,Technology,146.409,145.9887,145.5326,145.9026,69798105
2021-01-29,AAPL,Technology,142.7073,145.0806,140.3761,142.3043,70960535
2021-02-01,AAPL,Technology,146.0252,147.2813,142.76,146.1743,61792773
2021-02-02,AAPL,Technology,145.2511,146.5448,143.7683,145.6469,80804107
2021-02-03,AAPL,Technology,146.2507,147.6178,142.4534,145.8897,43645930
2021-02-04,AAPL,Technology,142.9112,145.6127,141.4959,142.2599,88425111
2021-02-05,AAPL,Technology,141.6286,142.8545,140.8049,140.9361,51285917
2021-02-08,AAPL,Technology,140.6817,142.5729,138.5453,141.2813,39768306
2021-02-09,AAPL,Technology,138.0256,138.934,137.1398,138.4467,58447041
2021-02-10,AAPL,Technology,139.8412,141.465,136.475,139.4489,33828126
2021-02-11,AAPL,Technology,138.4408,140.2056,135.9004,138.0114,68449211
2021-02-12,AAPL,Technology,137.5897,138.243,135.102,137.3505,58677991
2021-02-15,AAPL,Technology,136.4996,136.9193,134.131,135.9321,91830633
2021-02-16,AAPL,Technology,141.1524,143.0915,137.3074,140.6038,77054820
2021-02-17,AAPL,Technology,140.137,140.6606,139.3354,140.633,41772614
